citing_ref,non_segment_ref,num_segments,num_dicta_candidates,candidate_ref,citation_is_section_level,dicta_score,phrase_distance,candidate_text_words,confirm_method,confirmed,opus_confirmed,opus_reason
Ohr LaYesharim on Jerusalem Talmud Rosh Hashanah 3:7:1,Rosh Hashanah 28a,18,5,Rosh Hashanah 28a:6,True,22.0,185,31,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLi1dV38mHp7PuozJ7'}"
Harchev Davar on Genesis 48:22,Sanhedrin 44b,14,1,Sanhedrin 44b:7,True,4.0,1,59,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLiC3sKc8SgeNsSh5X'}"
"Sefer HeArukh, Letter Shin 377",Ketubot 17,28,2,Ketubot 17a:12,True,2.8,2,55,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLi1PGBLc1316d5tBM'}"
Par Echad on Pirkei DeRabbi Eliezer 28:1,Pirkei DeRabbi Eliezer 35,9,1,Pirkei DeRabbi Eliezer 35:6,True,4.0,18,117,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLjLzmHtDtyuBv571q'}"
Notes by Rabbi Yehoshua Hartman on Gevurot Hashem 41:110,Gevurot Hashem,1732,1,Gevurot Hashem 41:16,False,4.0,60,196,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLhxuPWwiisahdyJhL'}"
"Introductions to Amoraic Literature, Part I (Introductions to Tractates of the Babli), Nazir 56",Sukkah 55a,11,1,Sukkah 55a:8,True,4.0,44,14,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLjiaFQ9DbpivBfAZ4'}"
"Beit Yaakov on Torah, Vayigash 27:1",Genesis 27,46,3,Genesis 27:20,True,1.8,599,13,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLjtFGoTvMUzekWgdH'}"
Yahel Ohr on Zohar 3:226a:9,Genesis 23:1-25:18,105,2,Genesis 23:1,False,1.6,42,12,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLk2BeE5hE2muoWEPC'}"
"Nishmat Chayyim, Second Treatise 18:4",Niddah 21a:4-31b:17,442,1,Niddah 31a:2,False,6.0,23,21,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLjzwN79SE1qbHN6Mq'}"
"Sefer HaTerumah, Psakim 72:2",Chullin 99a,9,2,Chullin 99a:7,True,5.0,307,30,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLkBbsHu2fP9syfExg'}"
"Mashmia Yeshuah, The Third Herald (Isaiah) 14:12",Bereshit Rabbah,1037,1,Bereshit Rabbah 95:1,False,5.0,203,297,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLkFZvMoF8C1PwRvWz'}"
"Be'er Yitzchak, Orach Chayim 13:22",Tosafot on Shabbat,1557,1,Tosafot on Shabbat 24b:6:1,False,6.0,149,293,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLkGZawSmCW8ba3vGt'}"
"Shevet Musar, Index 41",Shevet Musar 41,6,6,Shevet Musar 41:1,True,6.0,103,673,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLkLXtph54QSNmzxvG'}"
"Shenei Luchot HaBerit, Shaar HaOtiyot, Anava 22",Tanna DeBei Eliyahu Rabbah,81,3,Tanna DeBei Eliyahu Rabbah 23:1,False,4.0,102,871,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLkLnFg4uUMHrNu5FQ'}"
Rosh on Avodah Zarah 4:2:1,Avodah Zarah 44b,15,5,Avodah Zarah 44b:10,True,11.0,94,35,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLkFZuoMiA7yb5sCM9'}"
"Haflaah on Ketubot, Introduction 16",Exodus 18:1-20:23,75,1,Exodus 19:21,False,1.9,155,12,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLkRzBsd9wKGYfe2wJ'}"
Rashba on Bava Kamma 81a:2,Avodah Zarah 47a,22,1,Avodah Zarah 47a:18,True,4.0,34,24,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLmDrm6d7rFJxCm7w5'}"
"Yad Eitan on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 4:4:1",Deuteronomy 16:18-21:9,97,7,Deuteronomy 18:7,False,1.6,582,10,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLmVEq2shyqNiuN8Ef'}"
"Pitchei Teshuva on Shulchan Arukh, Even HaEzer 156:21",Rashba on Gittin,795,1,Rashba on Gittin 63b:9,False,1.6,246,310,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLmMJNQvchXJYBey4H'}"
Sefer HaChinukh 187:3,Chullin 83b:3-89b:2,181,9,Chullin 88a:4,False,15.0,450,33,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLmWUeNTakZjRXBMYS'}"
"Bach, Yoreh De'ah 372:5:1",Berakhot 19,40,4,Berakhot 19b:8,True,5.0,198,20,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLmxWd21Za3NQfW9Mw'}"
"Turei Zahav on Shulchan Arukh, Yoreh De'ah 14:6",Chullin 68a:1-78a:4,356,5,Chullin 69a:9,False,5.0,548,23,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLn5TGN2w5HaXQ48tj'}"
Gur Aryeh on Shemot 15:17:5,Genesis 1:1-6:8,146,6,Genesis 1:1,False,6.0,243,7,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLn3y7CFnLMPUJXoy9'}"
"Torah Temimah on Torah, Deuteronomy 32:43:1",Ketubot 111a,27,2,Ketubot 111a:9,True,19.0,115,22,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLnFsXLrDEgktsmxZr'}"
"Turei Zahav on Shulchan Arukh, Yoreh De'ah 14:6",Chullin 78a:5-83b:2,170,15,Chullin 79a:3,False,2.3,21,22,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLnSXnBZHR1Ce25kQH'}"
"Rabbeinu Bahya, Shemot 1:2:4",Exodus 30:11-34:35,139,1,Exodus 30:12,False,1.4,12,17,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLnSYAXthHETa2JdNR'}"
"Abudarham, Shabbat Prayers, Torah Reading 4",Bereshit Rabbah,1037,1,Bereshit Rabbah 6:9,False,5.0,85,250,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLneSSq66EsDrEbDsD'}"
"Arvei Nachal, Vayera 1:8",Jeremiah,1364,12,Jeremiah 32:12,False,1.2,45,19,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLndwkFFZVXxyEYpMB'}"
Toafot Re'em 210:1,Bava Kamma 46a,15,5,Bava Kamma 46a:5,True,10.0,340,31,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLnjPqnraYUTaVvucw'}"
Toafot Re'em 274:26,Sefer Yereim,1065,1,Sefer Yereim 26:14,False,5.0,395,597,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLoK7mMCzmUh5JKs8A'}"
"Maggid Mishneh on Mishneh Torah, Forbidden Foods 1:12:3",Chullin 78a:5-83b:2,170,1,Chullin 78a:6,False,4.0,22,13,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLoBgcZG9dn9VMWBm9'}"
Toafot Re'em 274:26,Sefer Yereim,1065,1,Sefer Yereim 26:14,False,5.0,191,597,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLoNqiUHgeWJ3Jk3nn'}"
Toafot Re'em 274:26,Sefer Yereim,1065,1,Sefer Yereim 26:14,False,5.0,293,597,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLoiBZoajDKWMcNbUh'}"
Toafot Re'em 274:26,Sefer Yereim,1065,1,Sefer Yereim 26:14,False,5.0,356,597,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLon9fVbPWW7QFoShR'}"
Notes by Rabbi Yehoshua Hartman on Gevurot Hashem 55:66,Gevurot Hashem 58,19,2,Gevurot Hashem 58:6,True,6.0,33,137,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLowpcr7qUpj4Z5LnD'}"
Chidushei Chatam Sofer on Ketubot 13a:2,Teshuvot Maharik,286,5,Teshuvot Maharik 159:1,False,10.0,166,7047,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLoxZvdGiCmnRY6dLE'}"
Toafot Re'em 274:26,Sefer Yereim,1065,2,Sefer Yereim 274:28,False,1.5,462,2189,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLp1J1fQ3BDSLEVXgp'}"
Toafot Re'em 274:26,Sefer Yereim,1065,1,Sefer Yereim 26:14,False,5.0,450,597,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLozYbdkCyvG1eCRNe'}"
"Beur HaGra on Shulchan Arukh, Even HaEzer 170:4",Kiddushin,2406,3,Kiddushin 76a:1,False,4.0,58,30,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLpUKiuz4t2DHewkE7'}"
Halakhot Gedolot 61:4,Nazir 31b,12,1,Nazir 31b:9,True,7.0,11,22,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLpYXxZSLBy1qSsaW2'}"
Halakhot Gedolot 61:4,Bava Kamma 50b,19,2,Bava Kamma 50b:18,True,25.0,70,34,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLpdVr5xGrXq85YcuA'}"
"Brit Moshe, Negative Commandments 126:2:1",Sefer HaChinukh,2662,1,Sefer HaChinukh 251:3,False,5.0,112,89,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLpmRrHjF7WJEtkvZa'}"
"Tzafnat Pa'neach on Mishneh Torah, Ritual Slaughter 12:10:1",Yevamot 78,41,1,Yevamot 78a:16,True,4.0,23,28,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLpwMVPtTZmSo2dRrh'}"
Tosafot on Sukkah 39a:6:3,Kiddushin 55b,9,1,Kiddushin 55b:9,True,2.1,28,8,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLqUM1LHcXfHwYrsps'}"
"Rosh on Torah, Deuteronomy 33:24:1",Numbers 25:10-30:1,168,2,Numbers 26:64,False,1.4,51,13,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLqa3pkeZyMLi3GQjR'}"
Melekhet Shelomoh on Mishnah Megillah 2:5:9,Leviticus 16:1-18:30,80,1,Leviticus 16:1,False,1.4,9,11,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLqZoYQdCuNEiiWLMw'}"
"Sha'ar HaMitzvot, Introduction 1:7",Song of Songs,117,1,Song of Songs 1:1,False,1.4,93,4,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLr3aEQc9SWNdKd2b1'}"
Etz Yosef on Shir HaShirim Rabbah 1:1:10:7,Song of Songs,117,2,Song of Songs 1:1,False,1.4,49,4,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLr5ZYoZ7dpBmPdHuU'}"
Steinsaltz on Bava Batra 15a:2,Esther,167,3,Esther 2:23,False,1.3,67,13,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLqxcttE6xDRRkNCCi'}"
Ran on Shabbat 42b:18,Shabbat 117b,11,1,Shabbat 117b:3,True,5.0,35,57,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLrEEg4tqNexkybTus'}"
Ohr LaYesharim on Jerusalem Talmud Peah 7:5:13,Mishnah Maaser Sheni,57,2,Mishnah Maaser Sheni 3:10,False,4.0,230,54,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLrNfgyw2dRkEhADNG'}"
Etz Yosef on Shir HaShirim Rabbah 1:1:10:7,Song of Songs,117,2,Song of Songs 1:1,False,1.4,21,4,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLrMgHquXc5BBtAoZu'}"
Ohr LaYesharim on Jerusalem Talmud Megillah 1:5:3,Esther,167,7,Esther 9:24,False,4.0,80,15,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLrvQkjbJBWeM4Y8Ht'}"
Ohr LaYesharim on Jerusalem Talmud Megillah 1:5:3,Esther,167,42,Esther 9:29,False,6.0,154,13,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLrvQe3Gbb6KvVf1Jt'}"
"Notes and Corrections on Midrash Aggadah, Exodus 23:40",Sotah 36a,14,1,Sotah 36a:8,True,4.0,24,12,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLrx9UeKPJahdd81MD'}"
Ohr LaYesharim on Jerusalem Talmud Megillah 1:5:3,Esther,167,5,Esther 9:24,False,4.0,302,15,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLryPPrtv1H9kvGPPC'}"
"Torah Temimah on Torah, Leviticus 5:15:5",Exodus 25:1-27:19,96,3,Exodus 25:2,False,4.0,243,12,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLsSAfUaaJ1zerPMkZ'}"
Chiddushei HaRim on Bava Metzia 20a:23,Bava Metzia 28,46,1,Bava Metzia 28a:1,True,4.0,58,23,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLsHV9Wsf37nk8j2vc'}"
Ohr LaYesharim on Jerusalem Talmud Megillah 1:5:3,Esther,167,11,Esther 9:29,False,6.0,65,13,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLsmGHm69EgjgrNkKC'}"
"To Heal a Fractured World; The Ethics of Responsibility (Hebrew), Part 1; The Call to Responsibility, 6; Mending the World 25",Genesis,1533,6,Genesis 1:31,False,1.5,642,11,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLsqUi3tTC8evr6BLi'}"
Tosefta Kifshutah on Bava Metzia 2:1:3,Bava Metzia 24b,12,1,Bava Metzia 24b:1,True,2.1,160,19,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLtB51UgSYq6AoQSkM'}"
Rosh on Yevamot 3:10:1,Yevamot 42a,27,1,Yevamot 42a:7,True,2.3,137,13,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLtPTz2L2dxBsevooD'}"
Lechem Shamayim on Mishnah Sanhedrin 10:2:2,Tractate Semachot,230,1,Tractate Semachot 8:13,False,5.0,444,253,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLtPxkgRKk7XVtWNrQ'}"
Rosh on Yevamot 3:10:1,Yevamot 41a,20,2,Yevamot 41a:1,True,4.0,201,18,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLtMyvr6WPgg9pVq8z'}"
Shita Mekubetzet on Bava Batra 34b:6,Gittin 2a:1-15a:7,382,1,Gittin 14a:5,False,4.0,62,19,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLtZtA3sZT44XDgoBj'}"
"Seder HaDorot, Tanaim and Amoraim 688:1",Jerusalem Talmud Berakhot,655,1,Jerusalem Talmud Berakhot 5:2:10,False,5.0,139,85,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLtTBjBV9eUQswsZFe'}"
"Arukh HaShulchan HeAtid, Laws of Zeraim 15:6",Arakhin 32b,18,2,Arakhin 32b:18,True,4.0,13,9,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLtuiprKeDqj5xP718'}"
"Sefer Mitzvot Gadol, Positive Commandments 122:1",Chullin 27a:1-42a:2,454,1,Chullin 33a:9,False,2.1,427,22,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLuCLLZV7ZXvVjc3mU'}"
"Sefer Mitzvot Gadol, Positive Commandments 122:1",Sanhedrin 57,47,12,Sanhedrin 57a:14,True,5.0,6,29,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLu49YLhAg4UFYQkH5'}"
"Mareh Yechezkel on Torah, Miketz 18",Berakhot 6b,37,2,Berakhot 6b:26,True,7.0,8,31,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLuRj4Ex94SuaU6UkJ'}"
Steinsaltz on Sanhedrin 85b:19,Sanhedrin 40a:1-42a:20,96,1,Sanhedrin 42a:10,False,4.0,116,25,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLug7F1YP2fTh3c4pa'}"
"Sefer Mitzvot Gadol, Positive Commandments 122:1",Chullin 33,32,1,Chullin 33a:9,True,2.1,439,22,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLuTiGue7YPq8ccoJz'}"
"Peri Megadim on Orach Chayim, General Introduction 14:33",Shabbat 153b,15,2,Shabbat 153b:7,True,4.0,111,16,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLv6uerjFrfGkezEbL'}"
Rav Peninim on Proverbs 8:6:1,Exodus 21:1-24:18,118,1,Exodus 21:2,False,1.4,530,11,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLv4vNNgVbbcpGDyvp'}"
"Megalleh Amukkot on Torah, Ha'Azinu 4",Genesis 37:1-40:23,112,1,Genesis 40:16,False,1.2,135,14,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLvBccFFiuK4LNJYqD'}"
Mishnat Eretz Yisrael on Mishnah Shabbat 6:6:6,Shabbat 65a,17,1,Shabbat 65a:12,True,4.0,8,36,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLv8tUWVJn96mMktge'}"
